Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000069,Female,Yes,0,Graduate,No,12021,392,63.0,360,1.0,Semiurban,Y
LP000070,Male,Yes,2,Graduate,No,11169,1108,213.0,360,1.0,Semiurban,Y
LP000071,Male,Yes,0,Graduate,No,13783,4362,469.0,360,0.0,Semiurban,N
LP000072,Male,Yes,0,Graduate,No,9498,5188,294.0,180,1.0,Urban,Y
LP000073,Female,Yes,2,Graduate,No,15940,8802,384.0,360,,Rural,Y
LP000074,Male,No,2,Graduate,No,15197,5057,57.0,480,1.0,Urban,Y
LP000075,Male,Yes,2,Not Graduate,No,16233,3998,203.0,180,1.0,Semiurban,Y
LP000076,Male,Yes,0,Not Graduate,No,3769,8864,85.0,360,1.0,Semiurban,Y
LP000077,Male,No,0,Graduate,No,10368,6566,97.0,360,0.0,Semiurban,N
LP000078,Male,Yes,3+,Graduate,No,14873,3677,134.0,360,,Urban,Y
LP000079,Male,No,2,Not Graduate,No,8461,5796,77.0,360,1.0,Rural,Y
LP000080,Female,No,0,Graduate,No,18234,6363,245.0,360,0.0,Urban,N
LP000081,Male,Yes,0,Not Graduate,No,12161,8123,495.0,360,0.0,Urban,N
LP000082,Male,Yes,0,Graduate,No,11069,8222,257.0,360,1.0,Semiurban,Y
LP000083,Male,No,3+,Graduate,No,10057,7690,253.0,360,1.0,Semiurban,Y
LP000084,Male,No,0,Graduate,No,10933,1400,356.0,360,1.0,Urban,Y
LP000085,Male,Yes,0,Graduate,Yes,18153,4071,153.0,360,1.0,Urban,Y
LP000086,Male,Yes,0,Graduate,Yes,11611,8808,279.0,360,1.0,Rural,Y
LP000087,Male,Yes,1,Graduate,No,8182,2786,475.0,360,0.0,Rural,N
LP000088,Female,,2,Graduate,No,17979,7169,150.0,360,0.0,Urban,N
LP000089,Male,Yes,0,Graduate,Yes,17547,870,78.0,360,1.0,Semiurban,Y
LP000090,Male,No,2,Graduate,No,10584,4196,,360,,Semiurban,Y
LP000091,Male,Yes,3+,Not Graduate,No,18953,9604,387.0,360,1.0,Semiurban,Y
LP000092,Male,Yes,0,Graduate,No,8700,2739,59.0,360,1.0,Rural,Y
LP000093,Male,Yes,0,Not Graduate,No,12778,940,155.0,360,1.0,Urban,Y
LP000094,Male,Yes,0,Graduate,No,4507,340,,360,1.0,Rural,Y
LP000095,Male,Yes,2,Graduate,No,18302,7422,306.0,360,1.0,Semiurban,Y
LP000096,Male,Yes,1,Not Graduate,Yes,15829,4133,344.0,360,1.0,Semiurban,Y
LP000097,,Yes,1,Graduate,Yes,5279,659,326.0,360,1.0,Semiurban,Y
LP000098,Male,No,2,Graduate,No,3255,9752,114.0,360,1.0,Rural,Y
LP000099,Male,Yes,0,Graduate,Yes,8995,3457,320.0,360,1.0,Urban,Y
LP000100,Male,Yes,3+,Graduate,No,12687,9848,437.0,360,1.0,Urban,Y
LP000101,Male,No,0,Graduate,No,12013,2975,237.0,360,1.0,Urban,Y
LP000102,Male,No,0,Not Graduate,No,19900,9241,366.0,360,1.0,Rural,Y
LP000103,Male,No,1,Graduate,No,9847,453,453.0,360,,Rural,Y
LP000104,Female,No,2,Graduate,No,16749,9896,187.0,360,1.0,Semiurban,Y
LP000105,Male,Yes,0,Graduate,No,17379,8184,392.0,360,1.0,Urban,Y
LP000106,Male,Yes,2,Graduate,No,16557,5442,154.0,360,1.0,Rural,Y
LP000107,,No,3+,Graduate,Yes,14557,818,83.0,360,1.0,Rural,Y
LP000108,Male,No,0,Graduate,No,7438,4868,429.0,180,1.0,Semiurban,Y
LP000109,Male,Yes,3+,Graduate,No,3237,12,159.0,360,1.0,Semiurban,Y
LP000110,Male,No,0,Graduate,No,8700,7727,481.0,360,0.0,Urban,N
LP000111,Male,Yes,0,Graduate,No,10871,920,82.0,240,1.0,Semiurban,Y
LP000112,Female,Yes,0,Graduate,Yes,19115,4920,403.0,360,0.0,Rural,N
LP000113,Female,Yes,2,Graduate,Yes,11034,2418,280.0,360,1.0,Urban,Y
LP000114,Male,,1,Graduate,No,5123,9506,366.0,360,1.0,Semiurban,Y
LP000115,Female,Yes,0,Not Graduate,No,11146,6475,315.0,360,1.0,Urban,Y
LP000116,Female,Yes,0,Graduate,No,16043,2017,231.0,360,1.0,Rural,Y
LP000117,Male,No,1,Graduate,No,15317,7957,389.0,360,1.0,Semiurban,Y
LP000118,Female,Yes,0,Graduate,No,6997,9420,114.0,180,,Urban,Y
LP000119,Male,Yes,2,Graduate,No,10433,4792,382.0,360,,Semiurban,Y
LP000120,Female,No,2,Graduate,No,9227,6830,50.0,360,1.0,Semiurban,Y
LP000121,Female,No,0,Graduate,No,14656,2434,182.0,360,1.0,Urban,Y
LP000122,Male,No,3+,Graduate,No,19192,2868,129.0,360,0.0,Rural,Y
LP000123,Male,No,0,Graduate,No,11127,1438,320.0,360,0.0,Urban,N
LP000124,Male,No,3+,Graduate,No,10868,3543,290.0,360,1.0,Urban,Y
LP000125,Male,Yes,1,Graduate,No,19022,1781,,360,1.0,Urban,Y
LP000126,Female,Yes,1,Graduate,No,19077,6343,272.0,360,0.0,Urban,N
LP000127,,Yes,0,Graduate,No,18077,2263,72.0,360,1.0,Urban,Y
LP000128,Male,Yes,2,Not Graduate,No,15972,211,158.0,360,1.0,Urban,Y
LP000129,Male,Yes,0,Not Graduate,Yes,3442,8699,156.0,180,1.0,Semiurban,Y
LP000130,Male,No,0,Not Graduate,No,7120,6159,194.0,240,1.0,Urban,Y
LP000131,Male,Yes,0,Not Graduate,No,18695,7027,418.0,360,1.0,Semiurban,Y
LP000132,,Yes,0,Not Graduate,No,13654,331,403.0,360,0.0,Urban,N
LP000133,Male,Yes,0,Graduate,No,8853,6860,446.0,360,1.0,Urban,Y
LP000134,Female,No,1,Graduate,No,11645,8044,447.0,360,1.0,Urban,Y
LP000135,Male,Yes,2,Graduate,Yes,11994,8169,188.0,360,0.0,Rural,N
LP000136,Male,No,0,Graduate,No,16062,8742,333.0,360,0.0,Semiurban,Y
LP000137,Male,Yes,1,Graduate,No,5380,5720,347.0,360,1.0,Rural,Y
LP000138,Male,Yes,0,Graduate,No,3045,9133,148.0,360,1.0,Urban,Y
LP000139,Female,Yes,2,Graduate,No,16632,727,366.0,360,1.0,Rural,Y
LP000140,Female,No,2,Graduate,No,15804,4975,172.0,360,1.0,Urban,Y
LP000141,Male,Yes,0,Not Graduate,Yes,4427,3243,369.0,360,1.0,Urban,Y
LP000142,Male,No,1,Graduate,Yes,18888,648,336.0,360,1.0,Semiurban,Y
LP000143,Male,Yes,0,Graduate,No,14173,5095,130.0,360,,Semiurban,N
LP000144,Male,Yes,0,Graduate,No,17872,6614,59.0,360,1.0,Rural,Y
LP000145,Male,No,2,Graduate,No,5163,7135,57.0,360,1.0,Urban,Y
LP000146,Male,No,0,Not Graduate,Yes,17533,1009,454.0,360,1.0,Rural,Y
LP000147,Male,No,0,Graduate,No,11965,1550,254.0,360,1.0,Semiurban,Y
LP000148,Male,No,0,Not Graduate,No,5826,8995,364.0,180,1.0,Semiurban,Y
LP000149,Male,No,2,Graduate,No,6159,7492,,360,,Urban,N
LP000150,Female,No,0,Graduate,Yes,7263,3401,246.0,360,1.0,Urban,Y
LP000151,Male,No,0,Graduate,Yes,13328,7447,247.0,360,1.0,Rural,Y
LP000152,Male,No,1,Graduate,No,17320,5424,79.0,360,1.0,Semiurban,Y
LP000153,Male,No,2,Graduate,No,13721,4241,450.0,360,1.0,Semiurban,Y
LP000154,Female,Yes,0,Graduate,No,13711,3161,69.0,360,1.0,Rural,Y
LP000155,Male,No,0,Graduate,Yes,16069,4155,97.0,360,1.0,Urban,Y
LP000156,Male,Yes,0,Not Graduate,No,7592,7478,179.0,360,1.0,Semiurban,Y
LP000157,,No,0,Graduate,No,8522,8719,342.0,360,1.0,Semiurban,Y
LP000158,Male,No,0,Not Graduate,No,15069,9215,434.0,120,1.0,Urban,Y
LP000159,Male,Yes,2,Graduate,No,16015,6617,181.0,180,1.0,Urban,Y
LP000160,Male,No,1,Graduate,No,8659,5660,405.0,360,1.0,Semiurban,Y
LP000161,Male,Yes,1,Graduate,Yes,15723,8624,103.0,360,1.0,Semiurban,Y
LP000162,Male,Yes,0,Graduate,No,10945,1176,427.0,360,1.0,Rural,Y
LP000163,Male,No,2,Graduate,No,13522,7956,330.0,360,1.0,Urban,Y
LP000164,Male,Yes,0,Graduate,No,5544,8592,436.0,480,1.0,Rural,Y
LP000165,Female,,3+,Graduate,No,12112,2233,314.0,360,1.0,Urban,Y
LP000166,Male,No,1,Not Graduate,No,8136,4700,264.0,360,1.0,Semiurban,Y
LP000167,Male,Yes,0,Graduate,Yes,14093,5906,339.0,360,0.0,Semiurban,N
LP000168,Male,Yes,1,Graduate,No,18679,7860,92.0,360,1.0,Urban,Y
LP000169,Male,Yes,0,Graduate,Yes,5392,7526,123.0,360,1.0,Urban,Y
LP000170,Male,,1,Graduate,No,8312,5559,399.0,360,1.0,Rural,Y
LP000171,Male,No,0,Graduate,No,3154,6732,327.0,360,0.0,Rural,N
LP000172,Male,Yes,0,Graduate,No,19643,2513,375.0,360,1.0,Urban,Y
LP000173,,Yes,2,Graduate,No,4298,7830,,360,1.0,Semiurban,Y
LP000174,Male,Yes,0,Graduate,No,7659,9965,179.0,360,0.0,Semiurban,N
LP000175,Male,Yes,2,Graduate,No,14118,6944,399.0,240,0.0,Urban,N
LP000176,Male,No,0,Graduate,No,10946,7910,243.0,360,1.0,Semiurban,Y
LP000177,Male,Yes,1,Not Graduate,No,6323,5649,81.0,480,1.0,Rural,Y
LP000178,Female,No,1,Not Graduate,No,18599,1096,155.0,480,0.0,Urban,N
LP000179,Male,Yes,0,Graduate,No,10287,9120,449.0,360,1.0,Rural,Y
LP000180,Male,No,0,Graduate,No,13696,1951,253.0,480,1.0,Urban,Y
LP000181,Male,Yes,0,Graduate,No,8880,9746,50.0,360,1.0,Semiurban,Y
LP000182,Female,Yes,0,Graduate,No,19892,9186,294.0,360,1.0,Semiurban,Y
LP000183,Female,No,0,Graduate,No,12202,7799,121.0,180,1.0,Semiurban,Y
LP000184,Male,Yes,1,Graduate,Yes,5182,8804,481.0,360,1.0,Semiurban,Y
LP000185,Male,,3+,Graduate,No,3489,595,355.0,360,0.0,Urban,N
LP000186,,,2,Graduate,Yes,14976,7875,446.0,360,1.0,Rural,Y
LP000187,Male,Yes,2,Graduate,No,10946,9033,64.0,360,1.0,Rural,Y
LP000188,Male,Yes,2,Not Graduate,No,7211,4439,102.0,360,1.0,Urban,Y
LP000189,Male,No,1,Not Graduate,No,8979,5972,477.0,360,0.0,Rural,N
LP000190,Male,Yes,0,Graduate,No,15661,858,57.0,360,1.0,Urban,Y
LP000191,Female,Yes,3+,Not Graduate,No,17135,5519,379.0,360,1.0,Rural,Y
LP000192,Female,Yes,1,Not Graduate,No,10575,7385,95.0,360,1.0,Urban,Y
LP000193,Male,Yes,0,Graduate,No,3507,8636,374.0,180,1.0,Urban,Y
LP000194,Male,Yes,0,Graduate,No,10188,9980,163.0,360,0.0,Urban,N
LP000195,Male,No,0,Graduate,No,13263,4317,196.0,360,1.0,Semiurban,Y
LP000196,Male,No,0,Not Graduate,Yes,6408,3454,215.0,360,1.0,Semiurban,Y
LP000197,Female,No,2,Not Graduate,No,14457,1030,428.0,360,1.0,Semiurban,Y
LP000198,Female,No,0,Graduate,No,6879,9487,188.0,360,1.0,Urban,Y
LP000199,Male,Yes,0,Graduate,No,18982,7906,166.0,120,1.0,Semiurban,Y
LP000200,Male,No,3+,Graduate,No,3377,1447,348.0,240,1.0,Semiurban,Y
LP000201,Male,Yes,0,Graduate,No,18085,2850,325.0,180,1.0,Semiurban,Y
LP000202,Male,,0,Graduate,Yes,5137,8106,453.0,360,1.0,Urban,Y
LP000203,Female,,0,Not Graduate,No,9742,7151,326.0,240,1.0,Urban,Y
LP000204,Male,Yes,1,Graduate,Yes,11757,9503,387.0,360,1.0,Rural,Y
LP000205,Male,No,3+,Not Graduate,No,11113,6952,362.0,360,1.0,Urban,Y
LP000206,Male,No,0,Not Graduate,No,5383,4055,227.0,360,1.0,Urban,Y
LP000207,,Yes,2,Graduate,No,3704,5402,379.0,360,1.0,Urban,Y
LP000208,Male,Yes,0,Graduate,Yes,19428,9281,403.0,480,1.0,Semiurban,Y
LP000209,Male,No,3+,Graduate,Yes,14331,1672,203.0,360,0.0,Semiurban,N
LP000210,Male,Yes,2,Graduate,Yes,17964,4532,463.0,360,1.0,Semiurban,Y
LP000211,Male,,2,Graduate,No,16494,4924,250.0,360,1.0,Urban,Y
LP000212,Male,Yes,0,Graduate,No,9020,6085,415.0,360,0.0,Rural,N
LP000213,,No,3+,Graduate,No,3154,7734,164.0,360,0.0,Urban,N
LP000214,Male,No,1,Graduate,No,10912,4864,208.0,360,0.0,Rural,N
LP000215,Male,Yes,0,Graduate,No,6166,9316,91.0,360,1.0,Semiurban,Y
LP000216,Male,Yes,2,Graduate,Yes,6777,1221,296.0,360,1.0,Semiurban,Y
LP000217,Male,No,0,Graduate,No,8015,2860,117.0,360,1.0,Urban,Y
LP000218,Male,No,2,Graduate,No,11705,8428,494.0,360,1.0,Urban,Y
LP000219,Female,Yes,0,Graduate,No,17698,9336,494.0,480,1.0,Semiurban,Y
LP000220,Male,No,1,Graduate,No,6485,3253,375.0,360,0.0,Semiurban,N
LP000221,Male,Yes,0,Graduate,No,15635,3782,383.0,360,1.0,Urban,Y
LP000222,Male,Yes,0,Graduate,No,10667,6957,245.0,480,1.0,Rural,Y
LP000223,Male,No,0,Graduate,No,9948,766,139.0,360,0.0,Rural,N
LP000224,Male,Yes,0,Graduate,No,6181,2681,160.0,360,,Semiurban,Y
LP000225,Male,Yes,0,Not Graduate,No,19456,7710,417.0,360,1.0,Rural,Y
LP000226,Female,Yes,0,Graduate,No,12024,7482,408.0,360,1.0,Urban,Y
LP000227,Male,Yes,1,Graduate,No,7253,5086,194.0,360,1.0,Urban,Y
LP000228,Female,No,0,Graduate,No,9582,7964,324.0,360,1.0,Urban,Y
LP000229,Male,Yes,0,Graduate,No,6502,2665,228.0,360,0.0,Semiurban,N
LP000230,Male,No,2,Graduate,No,8129,9951,,360,0.0,Urban,N
LP000231,Male,Yes,0,Graduate,No,14778,3513,375.0,360,0.0,Rural,N
LP000232,Male,Yes,3+,Graduate,No,10917,495,368.0,360,1.0,Urban,Y
LP000233,Male,Yes,2,Graduate,No,4497,5822,380.0,480,0.0,Urban,N
LP000234,Male,No,1,Graduate,Yes,11463,2072,463.0,360,1.0,Rural,Y
LP000235,Male,Yes,1,Graduate,No,18284,7795,202.0,360,1.0,Urban,Y
LP000236,,No,2,Graduate,Yes,7024,8529,153.0,360,1.0,Urban,Y
LP000237,Male,Yes,0,Not Graduate,No,5907,3949,124.0,360,1.0,Semiurban,Y
LP000238,Male,No,0,Graduate,No,9231,6033,177.0,360,1.0,Urban,Y
LP000239,,Yes,0,Graduate,No,10295,8328,248.0,360,1.0,Urban,Y
LP000240,Female,No,2,Graduate,No,13832,2555,203.0,360,1.0,Urban,Y
LP000241,Female,No,0,Graduate,No,5411,6370,105.0,360,1.0,Semiurban,Y
LP000242,Female,No,1,Graduate,No,19134,4415,327.0,360,1.0,Rural,Y
LP000243,Male,No,3+,Graduate,No,17694,5959,394.0,480,1.0,Rural,Y
LP000244,Male,No,2,Graduate,No,7451,9107,68.0,360,1.0,Urban,Y
LP000245,Female,,0,Graduate,No,10598,5993,208.0,360,1.0,Semiurban,Y
LP000246,Male,,0,Graduate,No,18617,5021,75.0,360,1.0,Semiurban,Y
LP000247,Female,Yes,2,Graduate,Yes,10602,2907,475.0,360,1.0,Rural,Y
LP000248,Female,No,1,Not Graduate,No,8065,2914,218.0,360,1.0,Urban,Y
LP000249,Female,Yes,0,Graduate,No,3673,3870,72.0,360,1.0,Semiurban,Y
LP000250,Male,No,0,Graduate,No,11124,9190,96.0,360,0.0,Rural,N
LP000251,Male,Yes,3+,Graduate,Yes,16894,5085,62.0,360,1.0,Rural,Y
LP000252,Female,Yes,1,Graduate,No,15756,6546,266.0,360,1.0,Urban,Y
LP000253,Male,Yes,2,Graduate,No,3335,395,371.0,360,1.0,Urban,Y
LP000254,Male,No,2,Graduate,No,14324,938,243.0,360,1.0,Urban,Y
LP000255,Male,Yes,1,Graduate,No,7067,9828,193.0,360,1.0,Urban,Y
LP000256,Female,Yes,0,Graduate,No,6315,2510,122.0,180,1.0,Semiurban,Y
LP000257,Male,Yes,0,Graduate,No,19130,4636,205.0,360,1.0,Semiurban,Y
LP000258,Male,Yes,0,Graduate,No,4929,1649,126.0,360,0.0,Semiurban,N
LP000259,Male,Yes,0,Not Graduate,No,11682,3690,468.0,360,1.0,Urban,Y
LP000260,Male,Yes,2,Graduate,Yes,11618,3435,218.0,360,1.0,Urban,Y
LP000261,Female,No,1,Graduate,No,14130,3201,336.0,360,1.0,Urban,Y
LP000262,Male,Yes,2,Graduate,No,5107,4179,134.0,360,1.0,Urban,Y
LP000263,Male,Yes,0,Graduate,No,8430,8405,465.0,360,0.0,Rural,N
LP000264,Female,Yes,1,Not Graduate,No,6522,3237,,360,1.0,Urban,Y
LP000265,Male,Yes,1,Graduate,No,14491,3862,,480,1.0,Urban,Y
LP000266,Male,Yes,1,Graduate,No,9117,58,346.0,360,1.0,Semiurban,Y
LP000267,Male,Yes,1,Graduate,Yes,5651,4938,161.0,360,1.0,Semiurban,Y
LP000268,Male,Yes,0,Graduate,No,8080,2971,499.0,360,,Semiurban,N
LP000269,Male,Yes,0,Graduate,No,9554,9719,279.0,360,1.0,Rural,Y
LP000270,Female,No,0,Graduate,No,10119,8314,145.0,360,0.0,Urban,N
LP000271,Female,No,0,Graduate,No,18323,9628,487.0,360,0.0,Semiurban,N
LP000272,Female,No,0,Graduate,No,15747,9354,217.0,360,1.0,Semiurban,Y
LP000273,Female,Yes,1,Graduate,No,7073,3345,427.0,360,1.0,Urban,Y
LP000274,Male,Yes,3+,Not Graduate,No,17839,2486,205.0,360,1.0,Rural,Y
LP000275,Male,Yes,1,Not Graduate,No,5991,561,470.0,360,0.0,Urban,N
LP000276,Male,Yes,2,Not Graduate,No,3206,3981,154.0,360,1.0,Semiurban,Y
LP000277,Male,No,0,Graduate,No,18228,6261,242.0,360,1.0,Urban,Y
LP000278,Male,Yes,1,Graduate,Yes,9497,1737,379.0,360,1.0,Semiurban,Y
LP000279,Male,Yes,0,Not Graduate,No,7733,9096,488.0,360,1.0,Rural,Y
LP000280,Female,Yes,0,Graduate,No,8255,3554,181.0,360,1.0,Rural,Y
LP000281,Male,No,0,Graduate,No,9351,9918,404.0,180,1.0,Rural,Y
LP000282,Male,Yes,0,Not Graduate,No,14626,9126,431.0,360,0.0,Semiurban,N
LP000283,Male,Yes,0,Not Graduate,Yes,10365,7095,187.0,360,1.0,Urban,Y
LP000284,Male,Yes,0,Graduate,No,14618,8266,480.0,360,1.0,Semiurban,Y
LP000285,Male,Yes,0,Graduate,No,5817,294,380.0,360,1.0,Semiurban,Y
LP000286,Male,Yes,3+,Graduate,No,14712,8212,319.0,360,1.0,Urban,Y
LP000287,Male,Yes,0,Not Graduate,No,13847,9230,87.0,360,1.0,Semiurban,Y
LP000288,Male,Yes,0,Not Graduate,No,12890,5330,445.0,360,1.0,Rural,Y
LP000289,Male,Yes,0,Graduate,No,17363,4655,94.0,360,1.0,Semiurban,Y
LP000290,Male,Yes,1,Graduate,No,19048,1109,450.0,240,0.0,Urban,N
LP000291,Male,Yes,0,Not Graduate,Yes,9560,3771,212.0,480,1.0,Rural,Y
LP000292,Female,Yes,0,Graduate,No,18004,8563,,360,1.0,Urban,Y
LP000293,Male,No,0,Graduate,No,5557,6123,380.0,360,1.0,Urban,Y
LP000294,Male,No,0,Not Graduate,No,6928,7647,302.0,360,1.0,Semiurban,Y
LP000295,Male,Yes,0,Graduate,No,2902,1174,218.0,360,0.0,Semiurban,N
LP000296,Male,Yes,0,Graduate,No,11105,1164,334.0,360,1.0,Rural,Y
LP000297,Male,Yes,0,Graduate,No,18261,9284,323.0,360,1.0,Urban,Y
LP000298,Male,Yes,0,Graduate,No,3367,9475,69.0,360,1.0,Urban,Y
LP000299,Male,No,0,Not Graduate,No,16279,9037,288.0,360,1.0,Urban,Y
LP000300,Male,Yes,2,Graduate,Yes,17655,8712,319.0,360,1.0,Rural,Y
LP000301,Male,No,1,Not Graduate,No,10710,4466,467.0,360,1.0,Semiurban,Y
LP000302,Male,Yes,0,Graduate,No,2864,5538,,360,1.0,Semiurban,Y
LP000303,Male,Yes,0,Graduate,No,17866,7111,359.0,360,1.0,Urban,Y
LP000304,Male,No,3+,Graduate,No,9071,8434,80.0,360,1.0,Urban,Y
LP000305,Female,No,0,Graduate,Yes,19463,2800,363.0,360,1.0,Semiurban,Y
LP000306,Male,No,0,Graduate,No,16517,4607,,360,1.0,Urban,Y
LP000307,Male,No,1,Graduate,No,8968,7262,219.0,360,1.0,Semiurban,Y
LP000308,Male,Yes,0,Graduate,No,6650,1541,235.0,360,1.0,Semiurban,Y
LP000309,,No,0,Graduate,No,15565,2765,177.0,360,1.0,Rural,Y
LP000310,Male,Yes,0,Graduate,No,6637,4491,259.0,360,1.0,Semiurban,Y
LP000311,Male,No,2,Graduate,No,14736,3083,463.0,360,1.0,Semiurban,Y
LP000312,Male,Yes,0,Graduate,Yes,19336,5356,330.0,180,1.0,Urban,Y
LP000313,Female,No,1,Graduate,No,14653,1857,496.0,360,1.0,Rural,Y
